,Item Name,price
189,Mango kalapadu,37.95634877
190,Mango malagova,66.18317172
191,Mango mallika,60.06353814
192,Mango rathnagiri(red),24.63620199
193,Mango sakkaregutti,34.68532669
194,Mango thotapuri,43.23127398
195,Menthya Greens,65.81455821
196,Mineral water 1 lt,19.79819822
197,Mint Leaves,44.38987607
198,Molake kalu,87.62310996
199,Mosambi,70.95883987
200,Mosambi polo,14.5242515
201,Mushroom Button,234.4717664
202,Mushroom Oyster,129.6530746
203,N.Juice 200 ml,19.7981817
204,Nagapur Orange Economy,7.122333801
205,Net rich 5 lt oil,389.4158835
206,Onion Big,35.87372173
207,Onion flowers,27.15357591
208,Onion medium,33.22718984
209,Onion samber,66.73238096
210,Onion small(Economy),14.80295285
211,Orange,52.45501698
212,Orange Australia,153.9532896
213,Orange Nagpura,74.48211925
214,Orange Ooty,66.4748276
215,Orange South Africa,126.2176607
216,Orange juice,18.47813489
217,Orange malt,57.0388495
218,Palak Greens,42.80649768
219,Papaya Red lady,27.76833206
220,Papaya Taiwan,26.48540915
221,Papaya nati,18.02802319
222,Papaya red indian,28.72033597
223,Papaya sola,45.88721362
224,Parsley,217.8553022
225,Parvala,76.68236276
226,Peaches,208.303163
227,Peas Delhi,74.76759467
228,Peas Dharwad,10.48401941
229,Peas Ooty,100.5610347
230,Peas local,167.9068586
231,Peas seeds,237.3109335
232,Pepper,92.39134837
233,Pickles,72.59328685
234,Pickles mixed veg,65.99280155
235,Pineapple,49.36865641
236,Pineapple juice,87.11016711
237,Pista,131.9842915
238,Plum Australia,411.3959233
239,Plum Ooty,145.6677276
240,Pomegranate A.raktha,111.7136003
241,Pomegranate Bhagav,169.5581464
242,Pomegranate Ganesh,88.44199577
243,Pomegranate Juice,87.11162612
244,Pomello/Chakotha,34.00057359
245,Potato Baby,42.0063747
246,Potato(B),21.57351299
247,Potato(M),30.42633603
248,Pumpkin Ash,17.91645239
249,Pumpkin Japan,19.60086234
250,Pumpkin Red,15.87405197
251,Raddish,27.9177074
252,Raddish Red,48.63278684
253,Rice Bran 15 lt Tin,1053.265033
254,Rice Bran 5 lt,530.1432748
255,Rose apple,187.5488247
256,Rumenia Mango,54.10897837
257,S.mellon Local (Luck),45.97966827
258,S.mellon namdhari,27.42589922
259,S.mellon namdhari (Red),28.53040066
260,Safal deep 500 ml,49.22832789
261,Selari,143.7264306
262,Sham gadde,58.58246718
263,Snake Gourd,32.96458464
264,Snake Gourd(S),25.80710995
265,South Af.red berry,289.254782
266,South Africa Gala apple,36.508046
267,Sponge Gourd,38.60457576
268,Spring Onion,65.91653815
269,Spring Onion(Cleaned),68.30679069
270,Stevia powder,79.19236011
271,Straw Berry,98.12410374
272,Sun safal Tin 15 lt,596.1145962
273,Sungold oil 5 lt,567.2895206
274,Sungold oil 5 lt packet,527.9467934
275,Sweet Potato(Genasu),38.28923795
276,Sweet corn,42.80294523
277,Sweet corn cleaned,103.9242792
278,Sweet corn seeds,65.4481206
279,Sweet corn seeds spok,41.52656931
280,Tamarind Paste 150 gm,47.96341813
281,Tamarind Paste 450 gm,128.7138935
282,Tamarind seedless,149.8917471
283,Tamarind sweet 500gm,136.123746
